population,poverty_count,median_household_income,zipcode,poverty_rate
17242.0,10772.0,13092.0,601,62.47535088736805
38442.0,19611.0,16358.0,602,51.0145153738099
48814.0,24337.0,16603.0,603,49.85659851681895
6437.0,4163.0,12832.0,606,64.67298430946093
27073.0,11724.0,19309.0,610,43.30513796032948
60303.0,28547.0,18171.0,612,47.339270019733675
10765.0,5388.0,16018.0,616,50.05109150023224
23974.0,11879.0,16735.0,617,49.549511971302245
6578.0,3309.0,15206.0,622,50.30404378230465
42427.0,22617.0,16280.0,623,53.30803497772645
22707.0,12519.0,17578.0,624,55.132778438367026
32222.0,16153.0,16831.0,627,50.13034572652225
1568.0,1020.0,9681.0,631,65.05102040816327
22975.0,10756.0,16887.0,637,46.816104461371054
16701.0,9291.0,14916.0,638,55.631399317406135
27571.0,14287.0,16795.0,641,51.81894019078017
37494.0,12935.0,29320.0,646,34.4988531498373
5643.0,3532.0,13674.0,647,62.59082048555733
14760.0,7718.0,19631.0,650,52.289972899729
3697.0,1620.0,21650.0,652,43.81931295645118
11140.0,7167.0,12915.0,653,64.33572710951526
18979.0,10521.0,16902.0,656,55.43495442330998
40390.0,18717.0,17201.0,659,46.34067838573904
16180.0,6592.0,19394.0,660,40.741656365883806
40290.0,21809.0,17180.0,662,54.130057086125596
14991.0,8935.0,15253.0,664,59.6024281235408
23590.0,14358.0,13766.0,667,60.864773208986854
25653.0,13931.0,14816.0,669,54.30553931314076
8498.0,4759.0,13427.0,670,56.00141209696399
39859.0,18226.0,19211.0,674,45.72618480142502
36995.0,21084.0,14146.0,676,56.9914853358562
14311.0,6002.0,21673.0,677,41.93976661309482
26091.0,13552.0,16200.0,678,51.94128243455598
46395.0,23841.0,13911.0,680,51.38700290979631
32359.0,17380.0,15029.0,682,53.70994159275626
30424.0,15690.0,15523.0,683,51.571128056797264
38039.0,20863.0,14617.0,685,54.84634191224795
31320.0,14209.0,20589.0,687,45.36717752234994
12202.0,5880.0,17231.0,688,48.18882150467137
5352.0,2738.0,17622.0,690,51.158445440956655
35840.0,16626.0,19094.0,692,46.38950892857142
54428.0,24607.0,19119.0,693,45.21018593371059
69.0,24.0,-666666666.0,694,34.78260869565217
36312.0,17419.0,15019.0,698,47.97036792244988
26320.0,13419.0,17129.0,703,50.984042553191486
8274.0,5096.0,14293.0,704,61.59052453468698
23176.0,10789.0,19516.0,705,46.552468070417675
10964.0,5364.0,19596.0,707,48.923750456037936
17998.0,10390.0,17095.0,714,57.728636515168354
2972.0,1943.0,13070.0,715,65.37685060565276
28089.0,13283.0,18818.0,716,47.28897433158888
16659.0,9398.0,12251.0,717,56.413950417191906
25715.0,12678.0,19318.0,718,49.30196383433794
29119.0,13155.0,19757.0,719,45.1766887599162
21276.0,12143.0,13408.0,720,57.07369806354578
17393.0,9234.0,15826.0,723,53.09032369343989
80555.0,33210.0,20920.0,725,41.22649121718081
54823.0,17204.0,31401.0,727,31.380989730587526
39698.0,18401.0,19047.0,728,46.35246108116278
51593.0,21963.0,20920.0,729,42.569728451534125
31634.0,17358.0,15431.0,730,54.8713409622558
12722.0,6808.0,17083.0,731,53.51359849080334
12404.0,5421.0,19184.0,735,43.70364398581103
47411.0,20761.0,21000.0,736,43.78941595832191
30376.0,13062.0,19404.0,738,43.00105346326047
36847.0,15383.0,20098.0,739,41.74831058159416
1625.0,1072.0,13136.0,740,65.96923076923076
4880.0,2205.0,22073.0,741,45.1844262295082
51429.0,19447.0,22782.0,745,37.813296000311105
21009.0,10774.0,17567.0,751,51.28278356894664
37727.0,16908.0,18895.0,754,44.816709518382055
