city,zipcode,avg_house_price,number_of_schools,population,poverty_count,median_household_income,poverty_rate
Aberdeen,28315,216032.02551020408,4,13700.0,2826.0,51725.0,20.62773722627737
Advance,27006,322164.6195652174,2,14555.0,932.0,78095.0,6.403297835795259
Albemarle,28001,161291.03741496598,8,26601.0,5208.0,45121.0,19.57821134543814
Angier,27501,209262.44852941178,5,21299.0,2601.0,56338.0,12.21184093149913
Apex,27502,282296.24149659864,7,40280.0,2248.0,110513.0,5.580933465739822
Apex,27523,310453.2244897959,3,11629.0,685.0,102368.0,5.8904462980479835
Apex,27539,338619.1700680272,5,23436.0,1111.0,105526.0,4.740570063150709
Archdale,27263,175611.0068027211,5,22028.0,3042.0,44454.0,13.80969674959143
Arden,28704,330783.92910447763,3,19060.0,1563.0,63223.0,8.200419727177334
Ash,28420,192996.2122905028,2,3845.0,639.0,53519.0,16.618985695708712
Asheboro,27203,138211.53684210527,8,21684.0,5360.0,34131.0,24.718686589190185
Asheboro,27205,235137.42456140352,7,34517.0,5316.0,47008.0,15.40110670104586
Asheville,28801,316680.33208955225,5,13683.0,3113.0,33504.0,22.750858729810712
Asheville,28803,389884.9222222222,9,33756.0,3072.0,50475.0,9.100604337006754
Asheville,28804,391651.3222222222,2,22189.0,2553.0,59855.0,11.50570102302943
Asheville,28805,297884.8185185185,3,19818.0,2187.0,49893.0,11.035422343324251
Asheville,28806,227124.53159851301,12,42650.0,6165.0,46726.0,14.454865181711607
Atlantic,28511,128143.22047244094,1,566.0,107.0,38125.0,18.90459363957597
Aurora,27806,85419.84351145038,1,2664.0,490.0,37582.0,18.393393393393392
Ayden,28513,135224.90862944163,3,10321.0,2091.0,48269.0,20.259664761166555
Badin,28009,102933.86394557822,1,1221.0,167.0,33261.0,13.677313677313677
Bahama,27503,304297.59057971014,1,6328.0,170.0,81016.0,2.686472819216182
Bailey,27807,169196.53846153847,2,6415.0,866.0,45422.0,13.499610288386593
Banner Elk,28604,279267.1258503401,2,7635.0,918.0,51280.0,12.023575638506877
Barco,27917,174539.56666666668,3,734.0,391.0,29684.0,53.269754768392374
Barnardsville,28709,268359.531598513,1,2302.0,175.0,47250.0,7.602085143353605
Bath,27808,279985.8185328185,1,1939.0,169.0,48079.0,8.715832903558535
Bayboro,28515,130243.23008849558,4,2584.0,507.0,29292.0,19.620743034055728
Bear Creek,27207,217760.20588235295,1,3149.0,502.0,55625.0,15.941568751984757
Beaufort,28516,286879.9557823129,4,11268.0,1665.0,48668.0,14.776357827476039
Belmont,28012,275177.65201465203,7,22968.0,2135.0,66910.0,9.29554162312783
Belwood,28090,111784.94897959183,2,8473.0,2121.0,33151.0,25.032456036822847
Bennett,27208,214590.25683060108,2,1847.0,331.0,42128.0,17.920952896589064
Benson,27504,198555.45955882352,5,15182.0,3153.0,46944.0,20.768014754314322
Bessemer City,28016,141872.9706959707,5,13046.0,2484.0,44313.0,19.040318871684807
Bethel,27812,109370.89304812835,2,2762.0,694.0,38944.0,25.126719768283852
Black Mountain,28711,299645.72222222225,3,13398.0,880.0,45329.0,6.568144499178982
Blowing Rock,28605,462486.2925170068,1,3428.0,375.0,60172.0,10.939323220536757
Boiling Spring Lakes,28461,473087.875,4,19897.0,1471.0,64418.0,7.393074332813993
Bolivia,28422,320426.21256038646,4,8404.0,1810.0,45183.0,21.53736316039981
Boomer,28606,76607.11764705883,1,1689.0,265.0,31308.0,15.689757252812313
Boone,28607,296618.8537414966,5,35523.0,10533.0,41143.0,29.651211890887595
Boonville,27011,133465.80666666667,3,5380.0,906.0,37167.0,16.840148698884757
Bostic,28018,144685.88095238095,3,4699.0,757.0,36108.0,16.109810597999573
Brevard,28712,290295.87978142075,6,20017.0,2894.0,46490.0,14.457710945696158
Brevard,28772,337195.17391304346,3,1061.0,51.0,45670.0,4.806786050895382
Broadway,27505,171945.16666666666,1,5862.0,898.0,47696.0,15.31900375298533
Browns Summit,27214,213274.69047619047,3,10773.0,781.0,67895.0,7.24960549521953
Bunn,27508,157409.35483870967,3,1326.0,163.0,42981.0,12.29260935143288
Bunnlevel,28323,176525.79032258064,2,3899.0,704.0,52351.0,18.055911772249296
Burgaw,28425,183986.35135135136,6,11634.0,2161.0,40211.0,18.57486676981262
Burlington,27215,231789.51020408163,8,41204.0,6435.0,47420.0,15.617415784875256
Burlington,27217,144079.35034013606,7,37624.0,7957.0,40114.0,21.148734850095682
Butner,27509,146562.25170068027,2,6285.0,1325.0,41467.0,21.081941129673826
Buxton,27920,302320.0873015873,2,1327.0,542.0,48796.0,40.844009042954035
Camden,27921,264918.5808080808,5,4889.0,595.0,63563.0,12.170177950501126
Cameron,28326,212590.97894736842,5,23385.0,3280.0,61299.0,14.026085097284586
Candler,28715,304969.04814814817,5,26318.0,3319.0,53594.0,12.611140664184209
Canton,28716,180681.02717391305,5,17807.0,2681.0,49018.0,15.055876902341774
Carolina Beach,28428,365551.85039370076,1,6533.0,603.0,71250.0,9.230062758303994
Carrboro,27510,350472.2719665272,3,15528.0,2471.0,53155.0,15.91318907779495
Cary,27511,256227.5,7,34525.0,3653.0,74339.0,10.580738595220854
Cary,27513,298367.42176870746,7,44821.0,2443.0,92858.0,5.45057004529127
Cary,27518,353947.819112628,1,20875.0,918.0,106833.0,4.3976047904191615
Cary,27519,340502.4232081911,11,55111.0,1916.0,130337.0,3.4766199125401465
Casar,28020,166786.70325203252,1,2082.0,301.0,42700.0,14.457252641690681
Cashiers,28717,1019793.7243243243,3,1640.0,240.0,41108.0,14.634146341463413
Castle Hayne,28429,226143.53260869565,3,7525.0,707.0,49346.0,9.395348837209303
Catawba,28609,245033.90476190476,3,5788.0,467.0,59495.0,8.068417415342086
Chapel Hill,27514,467257.3054393305,5,32304.0,3901.0,70849.0,12.075903912828133
Chapel Hill,27516,381197.6487455197,13,41551.0,5747.0,85615.0,13.83119539842603
